Name	POS
겟	EP
치알	NNG
사	VV
비벼도	VV+EC
산뜻	XR
어용	EC
본	VV+ETM
이미	MAG
준비물	NNG
잖아요	EF
떨어뜨리	VV
잊	VV
마시	VV
으니	EC
한잔	NNG
곁들	VV
으니까요	EC
상추	NNG
양상추	NNG
이전	NNG
그래야	MAJ
참새	NNG
재미	NNG
호박잎	NNG
대체	MAG
식품	NNG
짱	NNG
동글	VA
빚	VV
올려놓	VV
밥물	NNG
치아	VV+EC
젓갈	NNG
명란젓	NNG
올려도	VV+EC
다양	XR
생식	NNG
그대로	MAG
뜯	VV
은데	EC
직전	NNG
뿌린다	VV+EC
어두	EC
쌈장	NNG
음	ETN
더라구여	EF
이런	MM
뱃살	NNG
양지머리	NNG
걷	VV
깨끗히	MAG
소주	NNG
커피	NNG
언니	NNG
마물	NNG
지으	VV+EP
윤기	NNG
콩	NNG
사과즙	NNG
부드러워	VA+EC
안심	NNG
분간	NNG
육	NR
회	NNBC
엉덩이	NNG
보이	VV
나요	EC
지방	NNG
용	XSN
부위	NNG
신선	XR
구하	VV
사람	NNG
위험	NNG
으니까	EC
으셔도	EP+EC
이정주	NNP
청포묵	NNG
비슷	XR
노른자	NNG
흰자	NNG
분리	NNG
조물조물	MAG
뜨거워서	VA+EC
아늑	XR
고사리나물	NNG
호박	NNG
원추리	NNG
냉이	NNG
취나물	NNG
돌나물	NNG
국간	NNG
간하	VV
고사리	NNG
도라지	NNG
두른	VV+ETM
예전	NNG
허브	NNG
비빔밥	NNG
던데	EC
이렇게	MAG
자식	NNG
봄	NNG
느낌	NNG
비비	VV
싱거워	VA+EC
쫑쫑	MAG
달래장	NNG
무칠	VV+ETM
무쳐	VV+EC
고루	MAG
달걀지단	NNG
이모	NNG
녹두	NNG
일어	NNG
건진	NNB+VCP+ETM+NNB+JX
붓	VV
푹	MAG
수준	NNG
거르	VV
티	NNG
골라	VV+EC
발상	NNG
전환	NNG
양	NNG
벗겨지	VV
건져	VV+EC
넉넉히	MAG
믹서	NNG
갈	VV
죽	NNG
전날	NNG
편해요	VA+EF
윗	MM
쌀알	NNG
퍼지	VV
앙금	NNG
그럼	MAJ
맑	VA
윗물	NNG
우선	MAG
끓이	VV
가라앉	VV
재차	MAG
라는	ETM
얘기	NNG
웃	VV
밑	NNG
대	XSV
받	VV
인가요	VCP+EC
버리	VV
란	ETM
뜻	NNG
마	VX+EC
눌	VV
걸러서	VV+EC
한참	MAG
된답니다	VV+EF
대추채	NNG
고명	NNG
띄워	VV+EC
기호	NNG
따라	VV+EC
달	VX
으며	EC
단맛	NNG
느낄	VV+ETM
진이	NNG
천일염	NNG
빻	VV
화학	NNG
팥	NNG
깨끗	XR
겉껍질	NNG
영양분	NNG
대요	EC
뒹구	VV
르	NNG
담갔	VV+EP
줄어들	VV
후이	IC
벌레	NNG
골라서	VV+EC
냉동실	NNG
보관	NNG
쿄	MAG
팥물	NNG
버린다	VX+EC
다소	MAG
단축	NNG
설사	NNG
으셔야	EP+EC
아깝	VV
량	NNG
팥알	NNG
은근히	MAG
뒀	VX+EP
한소	NNG
큼	VA+ETN
끓인	VV+ETM
는답니다	EF
익힌	VV+ETM
분쇄기	NNG
은아	NNG
인절미	NNG
네모나	VA
굳힌	VV+ETM
석쇠	NNG
부풀	VV+ETM
굽	VV
쌀가루	NNG
든지	EC
새알심	NNG
으려면	EC
시중	NNG
나와	VV+EC
찹쌀가루	NNG
국산	NNG
체리	NNG
나머지	NNG
농축	NNG
단팥	NNG
즉	VV
운	EC
단	VA+ETM
줘요	VX+EF
젖	VV
가장자리	NNG
칼집	NNG
낼	VV+ETM
미역	NNG
주방	NNG
티슈	NNG
꽁지	NNG
버린	VX+ETM
느타리	NNG
팽이버섯	NNG
밑둥	NNG
송이버섯	NNG
양송이버섯	NNG
슬라이스	NNG
말린	VV+ETM
영양가	NNG
만점	NNG
그런	MM
건	NNB+JX
이상	NNG
다듬	VV
송송	MAG
곁들인다	VV+EF
청	NNG
양초	NNG
닭고기	NNG
적당	XR
토막내	VV
저민	VV+ETM
